jump_id,take_off_measurable,take_off_frame,v_style_measurable,v_style_front_start,v_style_front_end,v_style_back_start,v_style_back_end,body_ski_measurable,bsa_start,bsa_end,landing,telemark_measurable,telemark_start,telemark_end,telemark_f_l,notes
jump49,1,519,0,,,,,1,598,602,680,1,681,685,l,
jump50,1,391,,,,,,1,478,482,508,1,509,513,l,telemark brutto
jump51,0,,1,,,215,219,1,277,281,358,1,359,363,l,telemark brutto
jump52,1,353,0,,,,,1,357,360,412,1,413,417,l,gran bel telemark
jump53,1,345,0,,,,,1,449,454,506,1,507,514,l,brutto telemakrk
jump54,1,389,1,446,450,,,1,544,546,640,1,640,644,l,
jump55,1,257,0,,,,,1,369,371,411,1,412,415,l,
jump56,1,475,0,,,,,1,543,547,588,1,589,594,l,
jump57,1,311,0,,,,,1,391,394,469,1,470,474,l,
jump58,1,318,0,,,,,1,375,379,483,1,484,488,l,
jump59,1,253,1,289,293,,,1,359,362,471,1,471,474,l,
jump60,0,,1,320,324,315,319,1,401,405,511,1,541,545,f,"V_back buono, V_front male"
jump61,1,278,1,322,326,,,1,384,388,500,0,,,,esulta
jump62,1,342,1,405,409,,,1,458,462,561,0,,,,V dubbio
jump63,1,680,0,,,,,1,776,780,,0,,,,fog
jump64,1,360,1,387,391,,,1,446,450,467,1,468,472,l,telemark lontano
jump65,1,398,0,,,,,1,464,468,558,1,559,563,l,
jump66,1,171,0,,,,,1,320,324,399,0,,,,fog
jump67,1,361,0,,,,,1,447,451,512,1,513,517,l,telemark lontano
jump68,1,394,0,,,,,1,494,498,539,1,540,544,l,telemark lontano
jump69,1,218,1,244,248,239,243,1,306,310,339,1,340,344,l,
jump70,1,238,1,271,275,266,270,1,327,331,363,1,390,394,f,
jump71,0,,1,224,228,219,223,1,273,277,346,1,347,351,l,
jump72,0,,1,368,372,363,367,1,411,415,486,1,523,527,f,
jump73,1,295,1,316,320,,,1,403,407,518,1,534,538,f,snow storm
jump74,0,,1,292,296,,,1,383,387,437,1,438,442,l,telemark lontano
jump75,1,350,1,,,383,387,1,408,412,472,1,525,529,f,
jump76,1,1621,0,,,,,1,1686,1690,1779,1,1804,1808,f,
jump77,1,1016,1,,,1076,1080,1,1133,1137,1176,1,1197,1201,f,
jump78,0,,1,,,298,302,1,369,373,434,1,452,456,f,
jump79,1,245,0,,,,,1,329,333,367,1,369,373,l,
jump80,1,315,0,,,,,1,426,430,469,1,469,474,l,tlmk diagonale
jump81,0,257,0,,,,,1,319,329,403,1,403,407,l,telemark diagonale
jump82,0,227,0,,,,,1,295,301,375,0,,,,telemark troppo diagonale
jump83,1,197,0,,,,,1,275,279,312,0,,,,
jump84,1,208,0,,,,,1,268,273,357,1,358,362,l,
jump85,0,354,1,388,398,379,386,1,513,518,580,1,581,585,l,
jump86,1,265,1,300,310,,,0,,,373,1,373,378,l,
jump87,1,327,0,,,,,1,427,433,460,1,460,465,l,
jump88,0,465,1,,,479,489,1,535,545,621,1,621,625,l,"telemark dubbio, diagonale lontana"
jump89,1,404,0,,,,,1,466,473,525,1,525,530,l,"telemark dubbio, diagonale lontana"
jump90,0,312,0,,,,,1,383,390,475,0,,,,
jump91,1,404,0,,,,,1,488,498,552,1,552,557,l,
jump92,1,373,0,,,,,1,426,436,528,1,528,533,l,
jump93,0,224,1,,,248,258,1,298,308,346,1,346,350,l,
jump94,1,363,0,,,,,1,438,448,519,1,519,524,l,"telemark dubbio, diagonale lontana"
jump95,1,169,0,,,,,1,229,239,273,1,273,277,l,"telemark dubbio, diagonale lontana"
jump96,1,452,1,485,495,,,0,,,561,1,561,566,,
jump97,1,494,0,,,,,1,552,562,640,1,642,650,l,telemark diagonale
jump98,0,379,0,,,,,1,430,440,498,1,499,509,l,telemark diagonale
jump99,1,248,0,,,,,1,318,325,375,1,376,386,l,"telemark dubbio, diagonale lontana"
jump100,1,217,0,,,,,1,298,307,387,1,388,398,l,"telemark dubbio, diagonale molto lontana"
